spotifty id,name,artist,artist followers,genre,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0UQw1kJHE2gSO09fpFmuNu,Moving Through Clouds,Alisa Bergman,19,[],Moving Through Clouds,2021-10-21,169200,48,0.957,0.227,0.0178,0.757,4,0.0997,-24.931,0,0.0336,69.009,4,0.0678
6ncThVkW6xywHK9FxZbcYD,A Mirror Appears,Ramel Alloy,32,[],A Mirror Appears,2021-12-03,123982,45,0.995,0.072,0.00556,0.912,9,0.0974,-37.107,0,0.0442,68.457,5,0.297
45NfL9LFXSj9WpuHkfixOR,Stillheten,Lo Enemark,41,[],Stillheten,2021-09-08,154878,62,0.993,0.0657,0.0248,0.962,0,0.133,-33.168,1,0.0483,61.736,3,0.0398
5MdTWbWwhsfrkvUj6lP4DW,Blue Mind,Counting Tides,102,['sleep'],Blue Mind,2021-11-11,176809,58,0.974,0.161,0.0269,0.816,10,0.101,-32.768,1,0.0708,68.482,3,0.172
0zJP6fC9Ql2WQuPnXBrFrL,Humanoid,Andris Vestiena,55,[],Humanoid,2021-11-11,140243,44,0.984,0.191,0.00928,0.823,10,0.108,-33.763,1,0.0414,68.606,3,0.0616
26lMzRXcIvEZZocZwGtu7e,An Eternity With You,Manny Chu,33,[],An Eternity With You,2021-11-30,136500,49,0.991,0.176,0.0227,0.944,5,0.0959,-30.846,1,0.0385,132.657,4,0.0534
1I1YHO7tw52jmXsCsXzXAT,High Beliefs,Moments of Clarity,2738,['background music'],Paradigm Shift,2020-08-09,204235,47,0.937,0.187,0.115,0.912,7,0.108,-24.73,0,0.04,65.834,4,0.0395
4S3rgz60bvE155xKGyCaZe,Ljung,Fjellet,25,[],Ljung,2021-11-26,120000,50,0.93,0.143,0.0599,0.782,10,0.111,-30.011,1,0.0485,71.965,3,0.115
3SDO8hL0wQ3Dxr6NN1CUbH,W.E.,Asa Bjorg,614,[],W.E.,2020-04-10,256125,46,0.962,0.24,0.0646,0.961,4,0.0928,-22.881,1,0.0396,120.104,4,0.0371
3XD6Fvynp5JlGHjj46xbXU,Halcyon Eyes,Even Massi,63,['sleep'],Retinal,2021-09-09,184000,45,0.983,0.143,0.00669,0.789,7,0.108,-33.702,1,0.0448,72.528,5,0.0742
11zpUtuGDKo3wpzgvzxgVe,Break Even,Jona Moon,39,[],Blue Heatwave,2021-12-03,159000,45,0.943,0.167,0.0251,0.902,2,0.115,-34.196,0,0.038,65.631,4,0.038
0RIJAaogvQkeFuZVPhYlma,Atmos Eleven,Atmos 11,527,[],World of Wonders,2020-01-29,227668,52,0.99,0.174,0.00449,0.934,6,0.0848,-37.192,1,0.0387,67.42,5,0.0581
15Q4tq0gvEelMr40CeBClA,Polaris,Stellarscopees,138,[],Polaris,2020-10-19,208192,53,0.972,0.114,0.0178,0.906,3,0.102,-31.477,1,0.0455,74.448,4,0.0769
4IBQllOXx6Ct9Bidmj3yyF,Deep Down The Cave,Xavier Ortando,207,['sleep'],Deep Down The Cave,2021-09-23,194400,64,0.976,0.207,0.046,0.815,5,0.114,-30.398,1,0.0377,70.308,4,0.0712
3o9ntzrGGcWTf455Cotank,Bid to Wonder,Reinstallation Conundrum,40,[],Sochi,2021-09-19,191440,62,0.94,0.142,0.0198,0.933,5,0.101,-32.761,1,0.0456,75.888,4,0.0295
2qM47jrxKy5t0W4VLLHxW1,New World Pioneer,Dries Wold,13,['sleep'],New World Pioneer,2022-01-14,185640,47,0.983,0.0837,0.00843,0.938,10,0.0969,-30.728,1,0.0417,76.987,3,0.0544
1pfYu9JKsojWVnmb5J9Xc0,Soluma,Aidin,185,[],Soluma,2021-09-16,224364,49,0.984,0.0953,0.00497,0.934,10,0.168,-34.801,1,0.0386,172.927,5,0.0393
1EVG8oKkYocWnjot9oPZHB,Soul Connect,Elise Magnefold,2417,['background music'],Soul Connect,2021-09-21,196491,60,0.931,0.167,0.0783,0.917,9,0.078,-26.665,0,0.039,139.731,3,0.0327
0sHAK04QYBqPdPL5BUP4aS,Abditory,Natalie Carlton,82,[],Abditory,2021-09-16,147702,52,0.973,0.141,0.00176,0.832,5,0.101,-37.965,1,0.0469,71.361,1,0.0383
